Date,Overall Rating,Textual Review,matched_conditions,similarity_scores
11/15/2024,2.3,"Ruined my life. Possibly forever. 3 years after stopping the drug, i`ve yet to see any recovery. 1Report this post",[],[]
11/15/2024,2.3,"Ruined my life. Possibly forever. 3 years after stopping the drug, i`ve yet to see any recovery. 1Report this post",[],[]
11/12/2024,1.3,"I have thankfully just been moved off of this drug. I had been taking sulpiride for over 30 years without any major issues until  blood tests indicated a spike in my blood sugar levels, putting me at risk of diabetes. Sulpiride was deemed to be the cause so my consultant prescribed Aripiprazole. What followed can only be described as nine months of hell. I was barely able to function, managing at best about 4 -5 hours broken sleep per night. I also experienced an increase in libido and developed...  a tremor in one arm. Finally after a review conducted by my GP, I have been moved on to Olanzapine. It has only been a week so far but there has already been a marked improvement both in my sleeping and general mental health. It seems from reviews that Aripiprazole can benefit some people but personally I would not wish it on my worst enemy.  Read More Read Less  1Report this post","['Aripiprazole', 'Diabetes']","[0.21643442516251377, 0.10998948226753617]"
11/12/2024,1.3,"I have thankfully just been moved off of this drug. I had been taking sulpiride for over 30 years without any major issues until  blood tests indicated a spike in my blood sugar levels, putting me at risk of diabetes. Sulpiride was deemed to be the cause so my consultant prescribed Aripiprazole. What followed can only be described as nine months of hell. I was barely able to function, managing at best about 4 -5 hours broken sleep per night. I also experienced an increase in libido and developed...  a tremor in one arm. Finally after a review conducted by my GP, I have been moved on to Olanzapine. It has only been a week so far but there has already been a marked improvement both in my sleeping and general mental health. It seems from reviews that Aripiprazole can benefit some people but personally I would not wish it on my worst enemy.  Read More Read Less  1Report this post","['Aripiprazole', 'Diabetes']","[0.21643442516251377, 0.10998948226753617]"
9/30/2024,2.3,"I used this drug combined with Zoloft for about a year. To preface I have severe depression, BPD and anxiety. Abilify made me fat. I gained a lot of weight on this medication. It definitely didn’t even make my moods stable. I was a mess still. Absolutely terrible drug and I regret being on it for so longReport this post",[],[]
9/30/2024,2.3,"I used this drug combined with Zoloft for about a year. To preface I have severe depression, BPD and anxiety. Abilify made me fat. I gained a lot of weight on this medication. It definitely didn’t even make my moods stable. I was a mess still. Absolutely terrible drug and I regret being on it for so longReport this post",[],[]
7/30/2024,5.0,"One psychiatrist diagnosed me schizoaffective-type. Another diagnosed me bi-polar. I was taking Risperidone for about 17 years and it did well for a while but recently my sleep patterns worsened - I would sleep for nearly 10-12 hours a night. My wife intuited we should try a different med and I did some research on my own before talking with my doctor. I intuited that Abilify would be best based on my mixed diagnoses so my doctor put me on 5mg generic - the Aripripazole. My life has been transfo... rmed for the best. I wake up fresh and energized in the morning. My head is more clear. My symptoms are way less. It has been 2 months only but the difference is amazing. Might talk to my doctor about slightly upping my dose to see if that even further betters things. All in all this med has been a great find though. I don't lose my cool as often also, and when I do, the severity of my anger or frustration is super mild.   Read More Read Less  1Report this post",['Undifferentiated Type'],[0.10313182962503484]
7/30/2024,5.0,"One psychiatrist diagnosed me schizoaffective-type. Another diagnosed me bi-polar. I was taking Risperidone for about 17 years and it did well for a while but recently my sleep patterns worsened - I would sleep for nearly 10-12 hours a night. My wife intuited we should try a different med and I did some research on my own before talking with my doctor. I intuited that Abilify would be best based on my mixed diagnoses so my doctor put me on 5mg generic - the Aripripazole. My life has been transfo... rmed for the best. I wake up fresh and energized in the morning. My head is more clear. My symptoms are way less. It has been 2 months only but the difference is amazing. Might talk to my doctor about slightly upping my dose to see if that even further betters things. All in all this med has been a great find though. I don't lose my cool as often also, and when I do, the severity of my anger or frustration is super mild.   Read More Read Less  1Report this post",['Undifferentiated Type'],[0.10313182962503484]
6/18/2024,1.0,"Prescribed for psychosis related to complex PTSD. I was prescribed Abilify because Caplyta wasn't covered by insurance for off-label use and Abilify was the only other antipsychotic considered low risk enough with my arrhythmia.
I only took this pill for 2 days. Day 1, I had a horrible arrhythmia episode, probably the worst it's ever been. Brushed it off as anxiety over new medication. Day 2 the arrhythmia was even worse and I felt as though I'd be better off dead. Wasn't risking it anymore and ... immediately notified my psychiatrist that I would be stopping Abilify. 
I am willing to live with paranoid delusions and hallucinations if it means I don't feel 2 minutes away from a heart attack all the time.   Read More Read Less  1Report this post","['First Episode Psychosis', 'Psychosis']","[0.15862421411332484, 0.1235134609415839]"
6/18/2024,1.0,"Prescribed for psychosis related to complex PTSD. I was prescribed Abilify because Caplyta wasn't covered by insurance for off-label use and Abilify was the only other antipsychotic considered low risk enough with my arrhythmia.
I only took this pill for 2 days. Day 1, I had a horrible arrhythmia episode, probably the worst it's ever been. Brushed it off as anxiety over new medication. Day 2 the arrhythmia was even worse and I felt as though I'd be better off dead. Wasn't risking it anymore and ... immediately notified my psychiatrist that I would be stopping Abilify. 
I am willing to live with paranoid delusions and hallucinations if it means I don't feel 2 minutes away from a heart attack all the time.   Read More Read Less  1Report this post","['First Episode Psychosis', 'Psychosis']","[0.15862421411332484, 0.1235134609415839]"
5/4/2024,1.7,"Abilify is a mood stabiliser, for me this meant I did not really laugh or cry the whole time I was on it. It was helpful recovering from schizophrenia, but I cant live my whole life like a zombie. I need to experience joy and sadness.
But it was by far the best medication I have taken for schizophrenia in terms of not causing tardive dyskinesia (Parkinsons like movements in the arms). 1Report this post","['Schizophrenia', 'DSM-IV Schizophrenia', 'Schizophrenia and Schizoaffective Disorder']","[0.30538971100224493, 0.30538971100224493, 0.18127622740543398]"
5/4/2024,1.7,"Abilify is a mood stabiliser, for me this meant I did not really laugh or cry the whole time I was on it. It was helpful recovering from schizophrenia, but I cant live my whole life like a zombie. I need to experience joy and sadness.
But it was by far the best medication I have taken for schizophrenia in terms of not causing tardive dyskinesia (Parkinsons like movements in the arms). 1Report this post","['Schizophrenia', 'DSM-IV Schizophrenia', 'Schizophrenia and Schizoaffective Disorder']","[0.30538971100224493, 0.30538971100224493, 0.18127622740543398]"
4/12/2024,2.0,Still angry and more so with the excessive weight gain1Report this post,"['Antipsychotics Weight Gain', 'Body Weight Change']","[0.23630324149740237, 0.10485508480118857]"
4/12/2024,2.0,Still angry and more so with the excessive weight gain1Report this post,"['Antipsychotics Weight Gain', 'Body Weight Change']","[0.23630324149740237, 0.10485508480118857]"
3/29/2024,5.0,"My bipolar disorder was in remission but I experienced significant problems between  episodes relating to attention and motivation. Basically I found it difficult to concentrate or get anything done, despite not having ADHD. I could go a whole workday accomplishing absolutely nothing, which caused serious problems for me. 

Then my doctor added abilify as an adjunct to lithium and lamotrigine. It’s been life-changing. I am me again, and I have not felt 100% like me in a very long time. I don’t k... now if I just had lingering mild depression before or what, but I can wake up in the morning, be productive at work, keep my house clean, and feel more at ease in social situations. I am dressing more nicely and doing things like doing my hair, which I used to enjoy but couldn’t be bothered to do for years. I was reluctant to try this medication due to bad experiences on other antipsychotics but abilify has turned my life around. No side effects so far.  Read More Read Less  1Report this post","['Antipsychotics', 'Social Anxiety Disorder', 'ADHD']","[0.13295305239767716, 0.13049627776201062, 0.11149570373323132]"
3/29/2024,5.0,"My bipolar disorder was in remission but I experienced significant problems between  episodes relating to attention and motivation. Basically I found it difficult to concentrate or get anything done, despite not having ADHD. I could go a whole workday accomplishing absolutely nothing, which caused serious problems for me. 

Then my doctor added abilify as an adjunct to lithium and lamotrigine. It’s been life-changing. I am me again, and I have not felt 100% like me in a very long time. I don’t k... now if I just had lingering mild depression before or what, but I can wake up in the morning, be productive at work, keep my house clean, and feel more at ease in social situations. I am dressing more nicely and doing things like doing my hair, which I used to enjoy but couldn’t be bothered to do for years. I was reluctant to try this medication due to bad experiences on other antipsychotics but abilify has turned my life around. No side effects so far.  Read More Read Less  1Report this post","['Antipsychotics', 'Social Anxiety Disorder', 'ADHD']","[0.13295305239767716, 0.13049627776201062, 0.11149570373323132]"
2/22/2024,3.0,It is a good experience to take abilify.1Report this post,[],[]
2/22/2024,3.0,It is a good experience to take abilify.1Report this post,[],[]
2/11/2024,2.3,"On 5 mg Abilify added to 200 mg Lamictil for treatment resistant depression. I had sedation to the point where I could no longer complete my activities of daily living. And I didn’t actually care. I couldn’t do dishes or scoop the cat box. I couldn’t go to the grocery and I couldn’t cook meals. Blurry vision and loss of focus and concentration led to troubles at work and with driving. I almost gave up my drivers license. I had a cognitive decline I couldn’t learn or retain new information I coul... dn’t understand things. Stopped being able to find words to create sentences leading to not having any conversations. 24/7 depersonalization. 20 pound weight gain. Stiff painful muscles and joints. Involuntary Jerking of arms, legs, shoulders. Tremors in my hands and loss of fine motor skills. And a prayer for death because I didn’t think I was going to live to the end of the year. I thought I was dying.   Finally got off it and I’m back on just Lamictal and I’m doing well.   Read More Read Less  1Report this post","['Treatment Resistant Depression', 'Treatment Resistant Major Depressive Disorder']","[0.14938216618257083, 0.10098190594255578]"
2/11/2024,2.3,"On 5 mg Abilify added to 200 mg Lamictil for treatment resistant depression. I had sedation to the point where I could no longer complete my activities of daily living. And I didn’t actually care. I couldn’t do dishes or scoop the cat box. I couldn’t go to the grocery and I couldn’t cook meals. Blurry vision and loss of focus and concentration led to troubles at work and with driving. I almost gave up my drivers license. I had a cognitive decline I couldn’t learn or retain new information I coul... dn’t understand things. Stopped being able to find words to create sentences leading to not having any conversations. 24/7 depersonalization. 20 pound weight gain. Stiff painful muscles and joints. Involuntary Jerking of arms, legs, shoulders. Tremors in my hands and loss of fine motor skills. And a prayer for death because I didn’t think I was going to live to the end of the year. I thought I was dying.   Finally got off it and I’m back on just Lamictal and I’m doing well.   Read More Read Less  1Report this post","['Treatment Resistant Depression', 'Treatment Resistant Major Depressive Disorder']","[0.14938216618257083, 0.10098190594255578]"
2/9/2024,5.0,"I have been on anti depressants all my life. I went through a bad depression and this time I couldn't get out of it. I lost interest in everything and hated everything. I didn't have energy and was scared to go outside. This lasted about three months. The doctor prescribed Abilify. I catch myself out doing errands now. I don't feel depresssed and I have way more energy. The only thing I've noticed is I have the impulse to spend money which I've always liked to do, only it's worse now. I als... o wake up in the early mornings . I like the medicine it's been a game changer for me.  Read More Read Less  1Report this post",[],[]
2/9/2024,5.0,"I have been on anti depressants all my life. I went through a bad depression and this time I couldn't get out of it. I lost interest in everything and hated everything. I didn't have energy and was scared to go outside. This lasted about three months. The doctor prescribed Abilify. I catch myself out doing errands now. I don't feel depresssed and I have way more energy. The only thing I've noticed is I have the impulse to spend money which I've always liked to do, only it's worse now. I als... o wake up in the early mornings . I like the medicine it's been a game changer for me.  Read More Read Less  1Report this post",[],[]
1/12/2024,5.0,"I had brain surgery to remove a very large tumor.  Immediately after the surgery I went into a deep clinical depression (including no appetite, immense weight loss, insomnia, loss of mental clarity, physically weakened, severe exhaustion, crying all the time, and many many more awful things).  I then took Zoloft (which didn’t help) and started seeing a psychiatrist (very important).  He prescribed me Abilify and I seriously could feel everything change back to normal within 48 hours !  Abilify h... as been a life saver & changer for me.  I believe that my Dopamine levels were affected from surgery (and/or anesthesia) and Abilify had corrected it.  Read More Read Less  1Report this post","['Anesthesia', 'Body Weight Change']","[0.150038200311979, 0.10501195702976131]"
1/12/2024,5.0,"I had brain surgery to remove a very large tumor.  Immediately after the surgery I went into a deep clinical depression (including no appetite, immense weight loss, insomnia, loss of mental clarity, physically weakened, severe exhaustion, crying all the time, and many many more awful things).  I then took Zoloft (which didn’t help) and started seeing a psychiatrist (very important).  He prescribed me Abilify and I seriously could feel everything change back to normal within 48 hours !  Abilify h... as been a life saver & changer for me.  I believe that my Dopamine levels were affected from surgery (and/or anesthesia) and Abilify had corrected it.  Read More Read Less  1Report this post","['Anesthesia', 'Body Weight Change']","[0.150038200311979, 0.10501195702976131]"
1/10/2024,1.0,"I was on olanzepine but it caused a 20kg weight gain. The doctor recommended trying abilify because it’s known to be more weight neutral. In about 2 weeks into it, I experienced its worst side effects. I had the worst tremors, restlessness, fainted thrice and it triggered attempted suicide. The doctors didn’t change the medication even after the side effects. One night, I had this strong urge to jump off a building, craving for the feeling of standing on an edge. I asked to be driven to A&E. We ... tried different meds afterwards but they mainly gave me intolerable tremors and some were too expensive- like cariprazine (a new drug). I’ve been on lexapro for a quite a few months and it has been helpful in maintaining my moods without any of the above horrible side effects. I still have slight tremors which I can tolerate. Felt I needed to share…   Read More Read Less  1Report this post",['Body Weight Change'],[0.11834466111163267]
1/10/2024,1.0,"I was on olanzepine but it caused a 20kg weight gain. The doctor recommended trying abilify because it’s known to be more weight neutral. In about 2 weeks into it, I experienced its worst side effects. I had the worst tremors, restlessness, fainted thrice and it triggered attempted suicide. The doctors didn’t change the medication even after the side effects. One night, I had this strong urge to jump off a building, craving for the feeling of standing on an edge. I asked to be driven to A&E. We ... tried different meds afterwards but they mainly gave me intolerable tremors and some were too expensive- like cariprazine (a new drug). I’ve been on lexapro for a quite a few months and it has been helpful in maintaining my moods without any of the above horrible side effects. I still have slight tremors which I can tolerate. Felt I needed to share…   Read More Read Less  1Report this post",['Body Weight Change'],[0.11834466111163267]
12/14/2023,1.0,"not sure how this is still available for patients - was put on this medication at a young age and forced to stay on it for over a decade. To this day never was told exactly what the medication was supposed to be doing for me - was always told it was for a mix of things along with the other meds I was put on-  Not until I was taken off of it did I realize what the root cause of my problems was. Would still be on this garbage if I didn’t ask for months to try coming off of it. Developed a gambling...  addiction, had worsening depression and multiple suicide attempts, and developed tardive dyskinesia because of this medication. It’s no coincidence that almost every aspect of my life has gotten better since coming off of this horrible medication… have had 0 suicidal ideation and have had many more happy and productive days since coming off of it in June than the entire past decade beforehand - no exaggeration at ALL.
don’t want to get into how bad my gambling addiction was but it is once again no coincidence that the urge to gamble being the only thing on my mind all day every day for years suddenly disappeared
writing this because although I am now scarred for the rest of my life due to these experiences and strong emotions felt throughout, along with now having to live with tardive dyskinesia, I am hoping that at least one person who is considering taking Abilify will see this and reconsider.  Read More Read Less  1Report this post",[],[]
12/14/2023,1.0,"not sure how this is still available for patients - was put on this medication at a young age and forced to stay on it for over a decade. To this day never was told exactly what the medication was supposed to be doing for me - was always told it was for a mix of things along with the other meds I was put on-  Not until I was taken off of it did I realize what the root cause of my problems was. Would still be on this garbage if I didn’t ask for months to try coming off of it. Developed a gambling...  addiction, had worsening depression and multiple suicide attempts, and developed tardive dyskinesia because of this medication. It’s no coincidence that almost every aspect of my life has gotten better since coming off of this horrible medication… have had 0 suicidal ideation and have had many more happy and productive days since coming off of it in June than the entire past decade beforehand - no exaggeration at ALL.
don’t want to get into how bad my gambling addiction was but it is once again no coincidence that the urge to gamble being the only thing on my mind all day every day for years suddenly disappeared
writing this because although I am now scarred for the rest of my life due to these experiences and strong emotions felt throughout, along with now having to live with tardive dyskinesia, I am hoping that at least one person who is considering taking Abilify will see this and reconsider.  Read More Read Less  1Report this post",[],[]
12/11/2023,1.0,"Took routine for approximately 3-4 months. Very low dose as add on to antidepressant. Became: extremely paranoid, depressed, scared all the time, anxious, increased muscle spasms and tremors, delusional, crying all the time, mood swings, chaotic emotions. All from 1 mg Abilify daily. Symptoms worsened every day until stopped medication. Still having memory issues and symptoms. But slowly I am improving. 1Report this post",['Behavioral Symptoms'],[0.1483021839962573]
12/11/2023,1.0,"Took routine for approximately 3-4 months. Very low dose as add on to antidepressant. Became: extremely paranoid, depressed, scared all the time, anxious, increased muscle spasms and tremors, delusional, crying all the time, mood swings, chaotic emotions. All from 1 mg Abilify daily. Symptoms worsened every day until stopped medication. Still having memory issues and symptoms. But slowly I am improving. 1Report this post",['Behavioral Symptoms'],[0.1483021839962573]
12/6/2023,5.0,"I take this in conjunction with Pristiq and Buspar, and it has been a lifesaver for me.1Report this post",[],[]
12/6/2023,5.0,"I take this in conjunction with Pristiq and Buspar, and it has been a lifesaver for me.1Report this post",[],[]
11/12/2023,5.0,I started abilify two weeks ago for depression and aggressive outburst. It has worked for me.  The downside of it for me is hallucinations and impulses spending which has calm down.  I am able to start my day without feeling down or tired.  It has also brought me out of my numb state with the help of celexa. After being on multiple antidepressants I feel my psychiatrist finally got it right.2Report this post,[],[]
11/12/2023,5.0,I started abilify two weeks ago for depression and aggressive outburst. It has worked for me.  The downside of it for me is hallucinations and impulses spending which has calm down.  I am able to start my day without feeling down or tired.  It has also brought me out of my numb state with the help of celexa. After being on multiple antidepressants I feel my psychiatrist finally got it right.2Report this post,[],[]
11/6/2023,3.7,"Great for depression, but it made me have a compulsive need to eat and shop. It took away my suicidal thoughts and anger. I gained 30lbs over the course of 6 months1Report this post","['Depression', 'Postpartum Depression', 'Geriatric Depression']","[0.14234003139859414, 0.14234003139859414, 0.14234003139859414]"
11/6/2023,3.7,"Great for depression, but it made me have a compulsive need to eat and shop. It took away my suicidal thoughts and anger. I gained 30lbs over the course of 6 months1Report this post","['Depression', 'Postpartum Depression', 'Geriatric Depression']","[0.14234003139859414, 0.14234003139859414, 0.14234003139859414]"
10/2/2023,5.0,I felt a positive affect of level headiness with in 24-48 hours. My racing thought stopped. The feeling of tenseness stopped. I did have some akathisia on 10mg. So I Just backed down to 5 mg.1Report this post,[],[]
10/2/2023,5.0,I felt a positive affect of level headiness with in 24-48 hours. My racing thought stopped. The feeling of tenseness stopped. I did have some akathisia on 10mg. So I Just backed down to 5 mg.1Report this post,[],[]
9/22/2023,1.3,"I was prescribed this in the hospital for bipolar depression. It took a couple days to kick in, but when it did, my anxiety immediately worsened to unbearable levels. I couldn't stop blinking and I felt a constant sense of dread. I had trouble working and sleeping. I couldn't even stop it immediately; I had to ween off of it for about two weeks. This could potentially be extremely beneficial, but caution is needed.1Report this post","['Bipolar Depression', 'Bipolar I']","[0.14387119206715548, 0.11719505277143552]"
9/22/2023,1.3,"I was prescribed this in the hospital for bipolar depression. It took a couple days to kick in, but when it did, my anxiety immediately worsened to unbearable levels. I couldn't stop blinking and I felt a constant sense of dread. I had trouble working and sleeping. I couldn't even stop it immediately; I had to ween off of it for about two weeks. This could potentially be extremely beneficial, but caution is needed.1Report this post","['Bipolar Depression', 'Bipolar I']","[0.14387119206715548, 0.11719505277143552]"
9/10/2023,4.3,"gained weight, tiredness, but it works for psycosis 1Report this post",[],[]
9/10/2023,4.3,"gained weight, tiredness, but it works for psycosis 1Report this post",[],[]
9/8/2023,1.0,This is the worse Med ever. I dont even know why any Dr. Would script this is 2023. Hair loss weight gain 80lbs sever body and hip aches lack of concentration this drug should be banned for life 1Report this post,['Body Weight Change'],[0.14875868975187265]
9/8/2023,1.0,This is the worse Med ever. I dont even know why any Dr. Would script this is 2023. Hair loss weight gain 80lbs sever body and hip aches lack of concentration this drug should be banned for life 1Report this post,['Body Weight Change'],[0.14875868975187265]
8/2/2023,5.0,"This medicine has changed my life. It literally fixed my ADD/ADHD, I could feel my head level for the first time in my adult life. I highly recommend the round pills not the football like kind. Round doesnt make me gain weight bc of constant hunger but football kind did. 1Report this post",['ADHD'],[0.15287376046838627]
8/2/2023,5.0,"This medicine has changed my life. It literally fixed my ADD/ADHD, I could feel my head level for the first time in my adult life. I highly recommend the round pills not the football like kind. Round doesnt make me gain weight bc of constant hunger but football kind did. 1Report this post",['ADHD'],[0.15287376046838627]
7/29/2023,1.0,I never had issues with anxiety until I took this crap. still having anxiety even after months of not taking.  1Report this post,"['Anxiety Disorders', 'Social Anxiety Disorder', 'Generalized Anxiety Disorder']","[0.29914579172367833, 0.24206008649478034, 0.22071235332277897]"
7/29/2023,1.0,I never had issues with anxiety until I took this crap. still having anxiety even after months of not taking.  1Report this post,"['Anxiety Disorders', 'Social Anxiety Disorder', 'Generalized Anxiety Disorder']","[0.29914579172367833, 0.24206008649478034, 0.22071235332277897]"
7/5/2023,2.3,"Worked really well for like 2 months then I got restlessness and couldn't stop moving so bad I couldn't barely drive my car because I was was just exploding with movement and having suicidal thoughts. Read online that it could of been permanent, that would of ruined my life, thankfully I've been off of it and it has slowly went away.1Report this post",[],[]
7/5/2023,2.3,"Worked really well for like 2 months then I got restlessness and couldn't stop moving so bad I couldn't barely drive my car because I was was just exploding with movement and having suicidal thoughts. Read online that it could of been permanent, that would of ruined my life, thankfully I've been off of it and it has slowly went away.1Report this post",[],[]
7/3/2023,5.0,"I used to take Sertraline, then Rispiridrone, and now Aripiprazole. im on a reletivly high dose for many different reasons but i will say it has worked wonders. im not comfortable sharing ALL my conditions, even on this site but i will say it has litterally saved my life .. highly recommend you ask your doctor about  this medication if you found this post while searching for guidance or help.1Report this post",['Aripiprazole'],[0.16993162111393154]
7/3/2023,5.0,"I used to take Sertraline, then Rispiridrone, and now Aripiprazole. im on a reletivly high dose for many different reasons but i will say it has worked wonders. im not comfortable sharing ALL my conditions, even on this site but i will say it has litterally saved my life .. highly recommend you ask your doctor about  this medication if you found this post while searching for guidance or help.1Report this post",['Aripiprazole'],[0.16993162111393154]
6/5/2023,4.3,I am a bipolar woman who has been battling depression and anxiety most of her life. Adding ability to the mix aided me tremendously.1Report this post,"['Bipolar Depression', 'Bipolar I', 'Depression']","[0.24469182530664485, 0.19932184454387208, 0.14193270116335446]"
6/5/2023,4.3,I am a bipolar woman who has been battling depression and anxiety most of her life. Adding ability to the mix aided me tremendously.1Report this post,"['Bipolar Depression', 'Bipolar I', 'Depression']","[0.24469182530664485, 0.19932184454387208, 0.14193270116335446]"
5/15/2023,4.7,"This medication was a game changer. Prescribed for aggressive out bursts, anxiety, agitation and mood dysregulation/meltdowns associated with Autism. My son says it gives him ""more thinking time"" and he is able to think things through before he becomes overwhelmed and reactive. Used in addition to a low dose antidepressant.
No side effects.1Report this post","['Autism Spectrum Disorder', 'Irritability Associated With Autistic Disorder']","[0.1171526858601546, 0.1053217266245057]"
5/15/2023,4.7,"This medication was a game changer. Prescribed for aggressive out bursts, anxiety, agitation and mood dysregulation/meltdowns associated with Autism. My son says it gives him ""more thinking time"" and he is able to think things through before he becomes overwhelmed and reactive. Used in addition to a low dose antidepressant.
No side effects.1Report this post","['Autism Spectrum Disorder', 'Irritability Associated With Autistic Disorder']","[0.1171526858601546, 0.1053217266245057]"
5/15/2023,1.0,I took 1 dose. I then began to go insane for probably a 24 hour period of anxiety and panic like the world has never seen. A horse tranquilizer couldn't calm me down. It was horrible and so was Caplyta. They both mess with the same brain chemicals dopamine and serotonin. Also Caplyta caused interrupted breathing during sleep. My son thought I was going to die. He told me the next day he checked on me in the middle of the night and I wasn't breathing and then I was. I can't get around very well s... o he checks on me.  Read More Read Less  1Report this post,['Panic Disorder'],[0.13331693514106419]
5/15/2023,1.0,I took 1 dose. I then began to go insane for probably a 24 hour period of anxiety and panic like the world has never seen. A horse tranquilizer couldn't calm me down. It was horrible and so was Caplyta. They both mess with the same brain chemicals dopamine and serotonin. Also Caplyta caused interrupted breathing during sleep. My son thought I was going to die. He told me the next day he checked on me in the middle of the night and I wasn't breathing and then I was. I can't get around very well s... o he checks on me.  Read More Read Less  1Report this post,['Panic Disorder'],[0.13331693514106419]
5/15/2023,3.0,"I took this medicine for 2.5 years after having hallucinations, hearing stuff, extreme paranoia and extreme raging episodes. It didn't help at all in the beginning but somewhere in the middle it helped a bit and then it stopped helping lol. Im diagnosed with borderline personality disorder which can give ""psychotic"" symptoms due to extreme emotions so i guess they thought it would help my extreme raging episodes, which it didn't. I got taken off the medicine about 6 months ago due to 2 physical ... illnesses i have, one being pcos. Nth really changed but i hardcore hallucinated and heard stuff this one night, more than usual. But that could be bc i was in an extreme physical stress state bc i got broken up with. In conclusion, its useless ??  Read More Read Less  1Report this post","['Posttraumatic Stress Disorder', 'Psychotic Disorder']","[0.1222545609730702, 0.1222545609730702]"
